Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,415.230011,417.859985,405.829987,406.230011,403.679504,407500
2022-06-10,400.160004,400.230011,388.760010,390.690002,388.237061,742400
2022-06-13,383.390015,392.429993,381.660004,385.230011,382.811340,1260000
2022-06-14,385.260010,388.859985,379.630005,380.660004,378.270020,912800
2022-06-15,384.730011,389.790009,381.470001,384.309998,381.897125,789000
2022-06-16,376.149994,380.149994,371.589996,372.290009,369.952545,807500
2022-06-17,372.000000,377.579987,369.510010,374.709991,372.357391,1620300
2022-06-21,376.339996,383.239990,376.339996,382.630005,380.227661,649200
2022-06-22,378.690002,385.480011,377.690002,383.339996,380.933228,548600
2022-06-23,385.480011,394.549988,383.010010,394.279999,391.804504,734200
2022-06-24,397.649994,408.910004,396.570007,407.709991,405.150146,945600
2022-06-27,406.429993,406.619995,397.690002,398.769989,396.266266,505900
2022-06-28,400.010010,402.399994,391.440002,391.690002,389.230774,467800
2022-06-29,393.290009,394.829987,390.040009,393.549988,391.079102,366600
2022-06-30,390.000000,396.420013,387.119995,394.649994,392.172211,525700
2022-07-01,394.839996,401.779999,393.829987,400.670013,398.154388,392300
2022-07-05,397.959991,401.940002,391.299988,401.589996,399.068604,582300
2022-07-06,403.910004,408.799988,399.309998,404.750000,402.208771,628200
2022-07-07,402.260010,405.230011,400.899994,402.390015,400.477081,440700
2022-07-08,399.339996,404.799988,398.730011,402.019989,400.108795,412700
2022-07-11,398.339996,400.739990,395.070007,397.329987,395.441071,319000
2022-07-12,398.100006,401.510010,389.459991,390.940002,389.081512,605600
2022-07-13,384.529999,387.390015,380.179993,385.040009,383.209534,419500
2022-07-14,381.200012,389.329987,380.730011,388.140015,386.294830,380400
2022-07-15,395.220001,397.230011,391.529999,395.149994,393.271454,489100
2022-07-18,394.500000,397.230011,390.679993,391.839996,389.977173,395800
2022-07-19,396.500000,405.149994,395.519989,404.130005,402.208771,444600
2022-07-20,404.809998,410.720001,402.600006,408.380005,406.438599,439900
2022-07-21,408.329987,414.720001,407.820007,412.730011,410.767883,412100
2022-07-22,414.000000,417.570007,409.760010,410.920013,408.966522,375600
2022-07-25,408.790009,415.329987,406.049988,413.380005,411.414795,440900
2022-07-26,412.109985,413.559998,408.890015,411.239990,409.285004,529600
2022-07-27,412.350006,419.739990,411.209991,418.290009,416.301483,551700
2022-07-28,419.250000,437.269989,417.980011,435.690002,433.618713,547900
2022-07-29,434.750000,438.769989,431.970001,436.670013,434.594086,510500
2022-08-01,432.869995,436.160004,430.089996,432.390015,430.334442,396900
2022-08-02,432.880005,432.880005,426.029999,426.299988,424.273376,418200
2022-08-03,426.720001,431.059998,424.279999,429.809998,427.766693,432600
2022-08-04,428.959991,432.040009,425.880005,430.850006,428.801758,332400
2022-08-05,427.230011,432.359985,426.369995,431.920013,429.866669,310100
2022-08-08,435.609985,437.390015,429.809998,431.010010,428.961029,320900
2022-08-09,428.950012,430.809998,426.209991,428.829987,426.791321,374400
2022-08-10,438.839996,439.170013,434.179993,438.679993,436.594513,398000
2022-08-11,440.000000,443.320007,433.390015,433.700012,431.638214,292700
2022-08-12,435.540009,439.559998,433.200012,439.100006,437.012543,282700
2022-08-15,437.700012,441.519989,435.320007,439.410004,437.321045,244600
2022-08-16,436.609985,440.040009,434.480011,436.329987,434.255707,355500
2022-08-17,432.549988,436.239990,430.149994,434.000000,431.936798,316900
2022-08-18,435.640015,435.640015,431.329987,433.750000,431.687988,318000
2022-08-19,431.869995,433.480011,427.170013,433.320007,431.260040,325400
2022-08-22,429.220001,430.429993,421.480011,422.130005,420.123199,376800
2022-08-23,418.480011,421.000000,412.890015,416.730011,414.748901,699700
2022-08-24,419.149994,420.739990,416.760010,418.619995,416.629883,470600
2022-08-25,421.250000,424.929993,418.899994,424.619995,422.601349,432300
2022-08-26,426.910004,429.000000,409.519989,409.829987,407.881683,372100
2022-08-29,406.290009,411.910004,406.140015,409.160004,407.214874,318500
2022-08-30,411.390015,413.510010,403.989990,407.750000,405.811554,566300
2022-08-31,410.970001,412.420013,402.450012,402.579987,400.666138,630100
2022-09-01,398.390015,405.660004,398.390015,405.149994,403.223907,493700
2022-09-02,409.859985,410.399994,399.420013,400.920013,399.014069,295500
2022-09-06,398.450012,400.850006,395.100006,396.920013,395.033051,502600
2022-09-07,397.769989,407.989990,397.339996,406.839996,404.905914,364600
2022-09-08,404.369995,409.869995,404.369995,408.079987,406.139984,334100
2022-09-09,409.200012,411.670013,408.160004,410.160004,408.210114,542800
